kmer	num_contigs	n50	max_length
10	15122	2	36
11	7510	10	91
12	7510	10	91
13	2669	31	235
14	2669	31	235
15	1479	63	732
16	1479	63	732
17	1137	76	1112
18	1137	76	1112
19	1021	84	1275
20	1021	84	1275
21	872	103	1275
22	872	103	1275
23	776	112	884
24	776	112	884
25	645	135	1279
26	645	135	1279
27	521	239	1474
28	521	239	1474
29	456	237	1474
30	456	237	1474
31	347	374	1477
