ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	2	1	1	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
2	1	3	3	0.000000	48.000000	48.000000	0.000000	0.000000	0	0	0
3	1	2	2	0.000000	32.000000	32.000000	0.000000	0.000000	0	0	0
4	2	2	3	0.000000	55.000000	55.000000	0.000000	0.000000	0	0	0
5	1	1	2	0.000000	39.000000	39.000000	0.000000	0.000000	0	0	0
6	1	3	3	0.000000	55.000000	55.000000	0.000000	0.000000	0	0	0
7	2	1	2	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
8	1	2	2	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
9	1	2	2	0.000000	44.000000	44.000000	0.000000	0.000000	0	0	0
10	1	1	1	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
11	1	1	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
12	1	5	3	0.000000	50.000000	26.000000	0.000000	0.000000	0	0	0
13	1	1	1	0.000000	39.000000	18.000000	0.000000	0.000000	0	0	0
14	1	5	6	0.000000	137.000000	23.000000	0.000000	0.000000	0	0	0
15	1	4	3	0.000000	106.000000	46.000000	0.000000	0.000000	0	0	0
16	1	1	1	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
17	1	2	2	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
18	1	1	1	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
19	1	2	2	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
20	1	1	1	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
21	1	2	2	0.000000	34.000000	34.000000	0.000000	0.000000	0	0	0
22	1	2	2	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
23	2	2	1	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
24	4	2	1	0.000000	14.250000	14.250000	0.000000	0.000000	0	0	0
25	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
26	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
27	1	2	3	0.000000	46.000000	46.000000	0.000000	0.000000	0	0	0
28	1	2	1	0.000000	25.000000	25.000000	0.000000	0.000000	0	0	0
29	1	3	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
30	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
31	1	2	2	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
32	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
33	1	2	3	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
34	1	3	3	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
35	1	3	4	0.000000	55.000000	55.000000	0.000000	0.000000	0	0	0
36	1	2	3	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
37	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
38	1	2	2	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
39	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
40	11	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
41	2	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
42	1	2	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
43	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
44	1	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
45	1	2	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
46	1	3	3	0.000000	32.000000	32.000000	0.000000	0.000000	0	0	0
47	1	3	4	0.000000	82.000000	82.000000	0.000000	0.000000	0	0	0
48	1	2	1	0.000000	55.000000	55.000000	0.000000	0.000000	0	0	0
49	1	3	2	0.000000	32.000000	32.000000	0.000000	0.000000	0	0	0
50	1	2	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
51	1	3	2	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
52	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
53	1	3	3	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
54	1	3	2	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
55	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
56	1	1	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
57	5	1	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	0	0
58	1	2	2	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
59	1	3	3	0.000000	10.000000	10.000000	0.000000	0.000000	0	0	0
60	1	1	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	0	0
61	1	3	3	0.000000	48.000000	48.000000	0.000000	0.000000	0	0	0
62	1	2	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	0	0
63	2	2	2	0.000000	10.000000	10.000000	0.000000	0.000000	0	0	0
64	1	2	2	0.000000	10.000000	10.000000	0.000000	0.000000	0	0	0
65	1	1	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
66	1	2	3	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
67	1	1	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
68	1	2	2	0.000000	9.000000	9.000000	0.000000	0.000000	0	0	0
69	1	1	2	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
70	1	2	3	0.000000	30.000000	30.000000	0.000000	0.000000	0	0	0
71	1	4	2	0.000000	31.000000	31.000000	0.000000	0.000000	0	0	0
72	1	2	3	0.000000	25.000000	25.000000	0.000000	0.000000	0	0	0
73	1	3	2	0.000000	54.000000	54.000000	0.000000	0.000000	0	0	0
74	1	2	3	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
75	1	4	4	0.000000	40.000000	40.000000	0.000000	0.000000	0	0	0
76	1	1	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	0	0
77	1	2	2	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
78	1	2	2	0.000000	10.000000	10.000000	0.000000	0.000000	0	0	0
79	2	2	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
80	2	1	1	0.000000	10.500000	10.500000	0.000000	0.000000	0	0	0
81	3	1	2	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
82	1	2	2	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
83	7	1	1	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
84	1	3	4	0.000000	67.000000	67.000000	0.000000	0.000000	0	0	0
85	1	4	1	0.000000	29.000000	29.000000	0.000000	0.000000	0	0	0
86	9	1	1	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
87	1	2	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
88	1	2	2	0.000000	30.000000	30.000000	0.000000	0.000000	0	0	0
89	4	1	1	0.000000	14.750000	14.750000	0.000000	0.000000	0	0	0
90	1	2	2	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
91	2	1	1	0.000000	15.500000	15.500000	0.000000	0.000000	0	0	0
92	1	1	2	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
93	1	2	2	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
