ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	7	1	2	0.000000	18.285714	18.285714	0.000000	0.000000	0	0	0
2	2	2	2	0.000000	37.500000	37.500000	0.000000	0.000000	0	0	0
3	2	1	2	0.000000	19.500000	19.500000	0.000000	0.000000	0	0	0
4	8	2	2	0.000000	18.500000	18.500000	0.000000	0.000000	0	0	0
5	13	2	1	0.000000	15.307692	15.000000	0.000000	0.000000	0	0	0
6	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
7	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
8	1	2	2	0.000000	15.000000	14.000000	0.000000	0.000000	0	0	0
9	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
10	1	3	3	0.000000	28.000000	27.000000	0.000000	0.000000	0	0	0
11	8	1	1	0.000000	1.125000	1.125000	0.000000	0.000000	0	0	0
12	22	2	1	0.000000	6.272727	6.272727	0.000000	0.000000	0	0	0
13	2	1	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
14	1	2	2	0.000000	9.000000	9.000000	0.000000	0.000000	0	0	0
15	6	1	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
16	1	3	2	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
17	2	3	2	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
18	33	2	1	0.000000	12.060606	12.060606	0.000000	0.000000	0	0	0
19	11	1	1	0.000000	14.545455	14.545455	0.000000	0.000000	0	0	0
20	61	2	1	0.000000	19.049180	18.508197	0.000000	0.000000	0	0	0
21	7	2	1	0.000000	20.428571	20.428571	0.000000	0.000000	0	0	0
22	1	1	1	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
23	1	2	2	0.000000	39.000000	38.000000	0.000000	0.000000	0	0	0
24	1	2	1	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
25	1	2	2	0.000000	28.000000	28.000000	0.000000	0.000000	0	0	0
26	2	1	2	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
27	2	2	2	0.000000	42.000000	41.000000	0.000000	0.000000	0	0	0
28	1	1	1	0.000000	25.000000	25.000000	0.000000	0.000000	0	0	0
29	2	1	2	0.000000	42.500000	41.500000	0.000000	0.000000	0	0	0
30	1	2	2	0.000000	45.000000	44.000000	0.000000	0.000000	0	0	0
31	4	1	1	0.000000	28.500000	28.000000	0.000000	0.000000	0	0	0
32	6	1	2	0.000000	28.666667	5.666667	0.000000	0.000000	0	0	0
33	1	1	2	0.000000	30.000000	27.000000	0.000000	0.000000	0	0	0
34	1	2	1	0.000000	29.000000	27.000000	0.000000	0.000000	0	0	0
35	2	1	1	0.000000	27.000000	26.000000	0.000000	0.000000	0	0	0
36	1	2	2	0.000000	53.000000	52.000000	0.000000	0.000000	0	0	0
37	4	2	1	0.000000	27.500000	27.500000	0.000000	0.000000	0	0	0
38	1	2	1	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
39	1	2	2	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
40	8	1	1	0.000000	24.500000	24.500000	0.000000	0.000000	0	0	0
41	1	2	2	0.000000	42.000000	42.000000	0.000000	0.000000	0	0	0
42	1	1	2	0.000000	29.000000	29.000000	0.000000	0.000000	0	0	0
43	30	1	2	0.000000	28.766667	28.766667	0.000000	0.000000	0	0	0
44	18	1	2	0.000000	21.611111	20.777778	0.000000	0.000000	0	0	0
45	5	2	2	0.000000	23.200000	21.000000	0.000000	0.000000	0	0	0
46	9	1	1	0.000000	21.777778	19.777778	0.000000	0.000000	0	0	0
47	1	1	2	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
48	1	2	2	0.000000	25.000000	25.000000	0.000000	0.000000	0	0	0
49	1	1	1	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
50	4	1	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
